event_id,timestamp,user,action,cpu,memory,response_time,status_code
53,2026-08-25 18:32:15.983,Bob,Logout,10.68,76.65,132,404
54,2026-08-25 18:32:17.130,George,Upload,21.35,44.74,235,400
55,2026-08-25 18:32:16.394,Hannah,Logout,26.01,77.27,399,200
56,2026-08-25 18:32:16.358,Hannah,Download,61.02,36.71,279,201
57,2026-08-25 18:32:16.035,Charlie,Upload,46.21,55.42,423,201
58,2026-08-25 18:32:18.020,Ian,Search,22.02,62.67,231,500
59,2026-08-25 18:32:15.943,Fiona,Purchase,9.42,75.2,49,400
60,2026-08-25 18:32:17.754,Ian,Logout,32.26,76.86,448,200
61,2026-08-25 18:32:18.039,Evan,Download,27.69,79.78,163,200
62,2026-08-25 18:32:15.976,Diana,Upload,92.4,54.82,126,200
63,2026-08-25 18:32:16.617,Hannah,Logout,93.38,79.68,203,201
64,2026-08-25 18:32:17.278,Diana,Purchase,21.34,33.86,297,200
65,2026-08-25 18:32:17.504,Charlie,Purchase,24.79,64.35,358,404
66,2026-08-25 18:32:16.152,Alice,Download,46.34,69.64,43,200
67,2026-08-25 18:32:16.567,Fiona,Download,75.53,24.37,223,400
68,2026-08-25 18:32:17.334,Evan,Login,59.86,28.55,426,200
69,2026-08-25 18:32:17.226,Ian,Logout,34.26,59.36,188,400
70,2026-08-25 18:32:16.064,Evan,Download,64.64,31.83,90,200
71,2026-08-25 18:32:18.631,Fiona,Download,49.64,24.22,182,500
72,2026-08-25 18:32:18.606,Ian,Logout,14.14,73.49,395,200
73,2026-08-25 18:32:16.024,Hannah,Download,15.6,66.24,160,400
74,2026-08-25 18:32:17.292,Julia,Upload,34.69,27.02,96,200
75,2026-08-25 18:32:16.119,Ian,Purchase,75.51,46.94,264,304
76,2026-08-25 18:32:16.358,Alice,Download,85.21,80.34,183,404
77,2026-08-25 18:32:18.913,Fiona,Upload,53.37,55.35,253,200
78,2026-08-25 18:32:19.038,Bob,Download,55.25,44.51,411,404
79,2026-08-25 18:32:16.479,George,Upload,26.65,73.65,215,200
80,2026-08-25 18:32:16.974,Ian,View,63.07,64.97,28,201
81,2026-08-25 18:32:17.805,Diana,Login,39.61,45.97,50,404
82,2026-08-25 18:32:18.410,Charlie,View,88.34,71.29,47,304
83,2026-08-25 18:32:16.456,Hannah,View,58.05,86.9,310,500
84,2026-08-25 18:32:17.982,Julia,Logout,47.41,41.0,340,200
85,2026-08-25 18:32:16.994,Fiona,Logout,90.52,39.78,412,304
86,2026-08-25 18:32:18.476,Fiona,Login,57.79,72.68,270,201
87,2026-08-25 18:32:17.556,Alice,Download,30.15,23.74,374,200
88,2026-08-25 18:32:18.022,George,Logout,66.34,71.67,347,304
89,2026-08-25 18:32:17.163,Charlie,View,91.08,68.87,54,400
90,2026-08-25 18:32:18.624,Julia,View,53.74,20.2,171,200
91,2026-08-25 18:32:18.479,Diana,Upload,51.22,60.84,106,500
92,2026-08-25 18:32:18.882,Diana,Search,16.18,50.3,95,201
93,2026-08-25 18:32:16.782,Diana,Download,10.07,51.75,151,200
94,2026-08-25 18:32:19.430,Evan,Purchase,62.49,73.26,255,400
95,2026-08-25 18:32:17.669,Bob,Login,56.3,30.14,368,404
96,2026-08-25 18:32:17.598,Alice,Upload,31.92,29.47,303,200
97,2026-08-25 18:32:16.943,Ian,Logout,85.13,37.6,330,200
98,2026-08-25 18:32:17.842,Hannah,Download,87.41,81.53,74,200
99,2026-08-25 18:32:17.076,Diana,Purchase,50.21,28.79,46,200
100,2026-08-25 18:32:18.694,Hannah,Logout,89.77,80.64,25,200
101,2026-08-25 18:32:17.314,Bob,Login,39.4,55.08,221,200
102,2026-08-25 18:32:18.354,Bob,Search,89.35,83.42,247,200
103,2026-08-25 18:32:17.972,Alice,View,7.1,51.69,236,304
104,2026-08-25 18:32:17.166,Ian,Logout,66.99,34.04,124,400
105,2026-08-25 18:32:18.444,Julia,Purchase,50.02,65.96,50,200
106,2026-08-25 18:32:16.884,Bob,Logout,25.61,57.71,365,500
107,2026-08-25 18:32:17.969,Charlie,Upload,54.74,76.14,152,304
108,2026-08-25 18:32:18.966,Diana,View,31.99,51.28,168,404
109,2026-08-25 18:32:17.038,Charlie,Search,6.95,40.03,233,201
110,2026-08-25 18:32:20.684,Fiona,Download,90.28,23.76,247,404
111,2026-08-25 18:32:18.735,Ian,View,6.69,81.43,143,200
112,2026-08-25 18:32:17.310,Charlie,View,80.29,25.6,288,200
113,2026-08-25 18:32:20.718,Hannah,Upload,87.23,25.6,150,400
114,2026-08-25 18:32:17.118,Hannah,Upload,47.34,32.37,93,400
115,2026-08-25 18:32:17.709,Bob,Logout,38.06,60.61,184,404
116,2026-08-25 18:32:20.978,Julia,Upload,54.51,86.15,32,400
117,2026-08-25 18:32:20.208,Fiona,Purchase,75.64,61.65,149,400
118,2026-08-25 18:32:19.306,Charlie,Logout,70.28,54.87,170,404
119,2026-08-25 18:32:20.768,Fiona,Logout,74.75,55.0,221,404
120,2026-08-25 18:32:16.974,Fiona,View,45.53,80.95,118,400
121,2026-08-25 18:32:18.561,Fiona,Logout,58.34,75.48,191,304
122,2026-08-25 18:32:17.002,Diana,View,31.43,53.05,174,200
123,2026-08-25 18:32:20.214,Charlie,Logout,75.1,60.13,197,304
124,2026-08-25 18:32:19.634,Charlie,Purchase,49.2,40.13,35,400
125,2026-08-25 18:32:16.794,George,Purchase,91.21,37.49,66,400
126,2026-08-25 18:32:17.688,Ian,Purchase,6.75,25.89,368,400
127,2026-08-25 18:32:17.961,Bob,Purchase,92.4,32.99,185,404
128,2026-08-25 18:32:16.702,Bob,Logout,61.76,35.56,33,500
129,2026-08-25 18:32:21.357,Hannah,Download,7.96,21.13,38,500
130,2026-08-25 18:32:20.104,Hannah,Purchase,92.89,71.21,258,500
131,2026-08-25 18:32:18.438,Diana,Purchase,20.84,42.77,182,200
132,2026-08-25 18:32:17.010,Charlie,Upload,43.28,75.33,194,304
133,2026-08-25 18:32:21.811,Evan,Download,88.22,78.89,286,404
134,2026-08-25 18:32:21.190,Julia,Login,80.55,88.47,154,500
135,2026-08-25 18:32:22.044,Diana,Login,25.13,54.88,161,404
136,2026-08-25 18:32:20.190,Evan,Download,14.56,34.83,448,304
137,2026-08-25 18:32:21.596,Fiona,Purchase,6.89,78.54,193,200
138,2026-08-25 18:32:17.226,Hannah,Search,13.85,53.44,138,200
139,2026-08-25 18:32:20.020,Diana,View,89.86,69.0,80,200
140,2026-08-25 18:32:17.394,Ian,Search,56.82,22.11,388,500
141,2026-08-25 18:32:19.383,Julia,Purchase,59.79,77.78,119,400
142,2026-08-25 18:32:18.844,Alice,Logout,74.51,49.34,338,400
143,2026-08-25 18:32:22.444,Evan,Purchase,75.88,59.4,345,200
144,2026-08-25 18:32:19.038,George,View,50.14,47.09,96,304
145,2026-08-25 18:32:18.919,Alice,Download,60.62,45.94,194,400
146,2026-08-25 18:32:19.674,Evan,Upload,13.95,31.58,157,200
147,2026-08-25 18:32:17.793,Evan,Purchase,19.74,58.28,45,200
148,2026-08-25 18:32:21.806,Diana,Purchase,75.99,79.98,53,500
149,2026-08-25 18:32:22.744,Evan,Purchase,21.33,61.27,314,404
150,2026-08-25 18:32:19.044,Julia,Login,74.78,89.96,98,304
151,2026-08-25 18:32:21.636,Evan,Upload,61.97,29.5,109,404
152,2026-08-25 18:32:18.334,Alice,Logout,87.06,41.88,319,200
153,2026-08-25 18:32:19.578,Julia,Upload,21.36,69.03,132,200
154,2026-08-25 18:32:17.296,Fiona,Download,58.89,82.55,266,400
155,2026-08-25 18:32:20.564,Charlie,Logout,66.74,82.91,335,500
156,2026-08-25 18:32:22.938,George,Download,53.12,31.23,10,200
157,2026-08-25 18:32:21.103,Julia,Download,10.32,60.57,312,404
158,2026-08-25 18:32:19.718,Ian,Download,86.63,44.21,314,304
159,2026-08-25 18:32:18.474,Hannah,Download,83.84,86.61,88,200
160,2026-08-25 18:32:19.454,Alice,Logout,70.19,68.95,359,200
161,2026-08-25 18:32:22.378,Charlie,View,66.07,36.38,430,200
162,2026-08-25 18:32:22.260,Julia,Upload,78.07,31.8,367,404
163,2026-08-25 18:32:17.739,Bob,View,37.66,74.25,219,404
164,2026-08-25 18:32:21.526,Julia,Download,10.52,36.97,110,200
165,2026-08-25 18:32:18.594,Julia,Search,66.86,38.25,48,200
166,2026-08-25 18:32:21.104,George,View,15.27,73.27,166,200
167,2026-08-25 18:32:20.137,Hannah,Search,49.76,50.35,84,201
168,2026-08-25 18:32:21.846,Hannah,Logout,10.46,22.3,116,200
169,2026-08-25 18:32:20.871,Diana,Search,43.49,35.82,394,200
170,2026-08-25 18:32:17.504,Julia,View,61.03,63.56,178,400
171,2026-08-25 18:32:23.844,George,Upload,75.28,55.57,322,200
172,2026-08-25 18:32:23.378,Diana,Search,15.83,59.67,386,400
173,2026-08-25 18:32:21.522,Charlie,Logout,67.45,41.01,146,200
174,2026-08-25 18:32:21.210,Alice,Login,28.58,75.0,331,404
175,2026-08-25 18:32:22.994,George,Search,38.52,26.3,383,200
176,2026-08-25 18:32:21.278,Hannah,Upload,9.06,72.49,270,201
177,2026-08-25 18:32:19.542,Charlie,Logout,40.97,74.09,334,200
178,2026-08-25 18:32:23.126,Evan,Upload,67.98,80.13,226,400
179,2026-08-25 18:32:17.979,Ian,Download,66.11,51.96,424,200
180,2026-08-25 18:32:21.594,Julia,Search,73.74,78.84,435,200
181,2026-08-25 18:32:17.647,Alice,Search,71.78,24.91,13,200
182,2026-08-25 18:32:23.848,Julia,Search,57.9,73.9,96,200
183,2026-08-25 18:32:17.673,Alice,Upload,45.92,70.4,142,200
184,2026-08-25 18:32:17.318,George,Login,70.77,78.73,20,201
185,2026-08-25 18:32:21.399,Hannah,Logout,39.94,24.68,110,200
186,2026-08-25 18:32:17.712,Diana,Purchase,21.47,50.93,85,200
187,2026-08-25 18:32:24.270,George,Search,55.4,78.77,60,200
188,2026-08-25 18:32:24.506,Bob,Download,12.24,75.2,180,500
189,2026-08-25 18:32:21.153,George,Search,54.25,29.15,261,404
190,2026-08-25 18:32:21.944,Evan,Login,52.71,21.81,165,500
191,2026-08-25 18:32:18.923,Diana,Search,88.13,62.1,414,400
192,2026-08-25 18:32:23.550,Fiona,Upload,51.57,57.14,184,404
193,2026-08-25 18:32:21.663,George,Login,57.51,40.82,63,200
194,2026-08-25 18:32:23.054,Charlie,Logout,54.07,41.25,311,404
195,2026-08-25 18:32:18.609,Fiona,Purchase,46.1,61.02,94,500
196,2026-08-25 18:32:24.506,Fiona,Download,8.05,21.35,354,200
197,2026-08-25 18:32:20.022,Diana,View,26.02,33.76,391,201
198,2026-08-25 18:32:20.442,Bob,Purchase,64.07,23.92,69,201
199,2026-08-25 18:32:18.876,Hannah,Download,9.61,87.58,186,200
200,2026-08-25 18:32:22.894,Evan,Purchase,9.24,64.11,260,404
201,2026-08-25 18:32:19.917,George,Logout,11.16,72.94,62,200
202,2026-08-25 18:32:17.314,Ian,Login,38.01,70.7,386,200
203,2026-08-25 18:32:21.790,Bob,Login,61.75,31.34,81,500
204,2026-08-25 18:32:20.190,Charlie,Download,21.49,57.26,448,200
205,2026-08-25 18:32:25.134,George,Upload,46.24,20.35,48,400
206,2026-08-25 18:32:17.354,Ian,Purchase,15.0,82.52,57,201
207,2026-08-25 18:32:18.606,Bob,Login,53.58,37.16,285,200
208,2026-08-25 18:32:21.742,Alice,Download,35.54,55.65,277,200
209,2026-08-25 18:32:25.535,George,Search,44.51,37.05,425,200
210,2026-08-25 18:32:24.324,Alice,Purchase,78.65,88.94,449,200
211,2026-08-25 18:32:20.780,Ian,Download,92.5,31.53,105,500
212,2026-08-25 18:32:23.138,Bob,View,73.6,21.02,37,400
213,2026-08-25 18:32:18.702,George,Purchase,54.33,51.15,196,200
214,2026-08-25 18:32:20.002,Diana,View,35.66,74.28,365,200
215,2026-08-25 18:32:21.529,Evan,Login,67.18,82.54,209,200
216,2026-08-25 18:32:17.454,Alice,Search,89.19,64.98,425,201
217,2026-08-25 18:32:20.285,Evan,Login,10.82,72.23,375,404
218,2026-08-25 18:32:23.578,Charlie,View,81.82,72.55,121,404
219,2026-08-25 18:32:25.587,George,Purchase,36.82,77.69,124,500
220,2026-08-25 18:32:24.754,Alice,Download,53.54,84.21,146,304
221,2026-08-25 18:32:18.388,Fiona,Login,71.86,63.12,174,404
222,2026-08-25 18:32:20.844,Julia,Purchase,27.02,42.67,205,200
223,2026-08-25 18:32:19.754,Charlie,Login,18.25,23.65,333,500
224,2026-08-25 18:32:23.134,Fiona,Login,79.46,86.87,359,400
225,2026-08-25 18:32:23.169,George,Download,82.62,23.47,104,200
226,2026-08-25 18:32:24.560,Charlie,Search,22.93,36.88,189,304
227,2026-08-25 18:32:18.926,Evan,Purchase,16.25,35.5,170,200
228,2026-08-25 18:32:20.082,Bob,Logout,69.44,57.84,419,200
229,2026-08-25 18:32:24.683,Hannah,View,55.5,72.58,154,400
230,2026-08-25 18:32:21.734,Ian,View,32.13,32.31,411,500
231,2026-08-25 18:32:25.689,Ian,Upload,26.1,59.7,56,200
232,2026-08-25 18:32:19.702,George,Logout,16.77,87.3,167,200
233,2026-08-25 18:32:21.818,Charlie,Login,9.16,86.22,434,200
234,2026-08-25 18:32:23.952,Bob,Search,90.12,45.87,220,201
235,2026-08-25 18:32:26.809,Fiona,View,34.72,24.05,407,200
236,2026-08-25 18:32:21.430,Ian,Upload,50.8,77.53,83,201
237,2026-08-25 18:32:25.485,Diana,Upload,89.58,58.03,190,200
238,2026-08-25 18:32:18.864,Hannah,Upload,58.04,75.04,269,200
239,2026-08-25 18:32:25.093,Julia,Logout,61.87,36.01,441,201
240,2026-08-25 18:32:25.854,Diana,Purchase,29.74,51.61,354,200
241,2026-08-25 18:32:25.175,Charlie,Purchase,7.32,40.72,170,200
242,2026-08-25 18:32:26.426,Ian,View,16.37,68.69,365,200
243,2026-08-25 18:32:17.967,Ian,Login,37.98,27.73,247,200
244,2026-08-25 18:32:24.566,Hannah,Logout,27.36,61.74,329,304
245,2026-08-25 18:32:27.054,Julia,Search,27.77,78.41,196,200
246,2026-08-25 18:32:19.230,Hannah,View,10.02,38.79,270,304
247,2026-08-25 18:32:24.186,Fiona,Purchase,52.61,39.01,291,200
248,2026-08-25 18:32:20.502,Diana,Purchase,50.63,50.78,96,404
249,2026-08-25 18:32:24.009,George,Login,28.14,22.45,439,201
250,2026-08-25 18:32:19.294,Bob,Upload,10.75,57.59,439,200
251,2026-08-25 18:32:27.593,Evan,Purchase,93.69,71.35,89,200
252,2026-08-25 18:32:20.082,Alice,Download,81.58,86.27,356,400
253,2026-08-25 18:32:23.137,Hannah,Download,47.14,57.82,227,400
254,2026-08-25 18:32:22.660,Diana,Logout,94.17,66.5,312,404
255,2026-08-25 18:32:26.769,George,Logout,15.31,34.97,54,200
256,2026-08-25 18:32:25.022,Diana,Login,41.16,36.11,110,200
257,2026-08-25 18:32:18.635,Evan,View,57.4,64.47,411,200
258,2026-08-25 18:32:18.390,Julia,Download,16.59,67.54,202,201
259,2026-08-25 18:32:21.251,George,Logout,28.78,58.9,160,200
260,2026-08-25 18:32:27.254,Hannah,Upload,78.47,68.13,330,304
261,2026-08-25 18:32:22.602,Alice,View,35.52,83.48,144,304
262,2026-08-25 18:32:23.416,Bob,Logout,75.76,70.77,433,304
263,2026-08-25 18:32:22.921,Alice,Search,84.52,83.0,38,200
264,2026-08-25 18:32:20.046,George,Download,77.33,71.14,214,200
265,2026-08-25 18:32:22.184,Bob,Purchase,71.05,62.77,293,200
266,2026-08-25 18:32:21.412,Hannah,Upload,65.65,67.93,160,400
267,2026-08-25 18:32:24.639,Ian,Logout,54.65,25.02,284,200
268,2026-08-25 18:32:23.870,Bob,Purchase,7.39,49.8,24,304
269,2026-08-25 18:32:24.440,Bob,Search,33.74,71.96,102,304
270,2026-08-25 18:32:23.664,Bob,Logout,91.11,72.64,115,500
271,2026-08-25 18:32:23.695,George,Login,93.52,78.65,358,500
272,2026-08-25 18:32:27.806,Evan,Purchase,66.05,70.99,35,201
273,2026-08-25 18:32:19.935,Diana,Search,58.19,62.09,412,200
274,2026-08-25 18:32:19.404,Hannah,Logout,13.43,62.58,184,400
275,2026-08-25 18:32:19.144,Hannah,Download,46.0,74.22,100,200
276,2026-08-25 18:32:24.954,Fiona,View,32.11,36.44,136,304
277,2026-08-25 18:32:23.604,Bob,View,36.96,54.41,404,404
278,2026-08-25 18:32:18.908,Bob,Purchase,48.02,66.73,337,200
279,2026-08-25 18:32:26.733,George,Search,15.16,27.58,36,200
280,2026-08-25 18:32:22.574,Charlie,View,34.48,32.04,31,200
281,2026-08-25 18:32:26.534,Diana,Purchase,11.09,84.35,405,200
282,2026-08-25 18:32:27.984,Charlie,Search,63.06,26.1,319,400
283,2026-08-25 18:32:24.350,Bob,View,85.54,81.27,385,200
284,2026-08-25 18:32:22.394,Diana,Logout,54.51,58.49,299,304
285,2026-08-25 18:32:18.429,Hannah,Download,16.02,55.77,294,200
286,2026-08-25 18:32:27.020,George,Login,44.89,27.09,22,200
287,2026-08-25 18:32:29.357,Julia,Download,34.42,80.37,106,200
288,2026-08-25 18:32:24.510,Charlie,Login,88.86,82.48,309,201
289,2026-08-25 18:32:23.097,Julia,Search,62.58,20.18,388,404
290,2026-08-25 18:32:19.644,Ian,Upload,61.28,85.87,76,304
291,2026-08-25 18:32:23.733,Diana,Purchase,58.8,79.4,428,500
292,2026-08-25 18:32:24.638,Hannah,Purchase,51.71,65.31,391,201
293,2026-08-25 18:32:19.103,Charlie,Upload,94.74,78.5,304,200
294,2026-08-25 18:32:27.348,Hannah,Purchase,40.34,89.14,73,200
295,2026-08-25 18:32:24.144,Fiona,Upload,33.64,45.01,301,500
296,2026-08-25 18:32:21.214,Charlie,Search,25.41,81.0,305,400
297,2026-08-25 18:32:25.689,Ian,View,8.82,42.06,113,200
298,2026-08-25 18:32:19.168,Charlie,Search,62.22,49.97,399,200
299,2026-08-25 18:32:29.048,Evan,Search,5.72,78.36,11,200
300,2026-08-25 18:32:28.194,Evan,Search,55.47,47.67,320,200
301,2026-08-25 18:32:29.140,Bob,Login,55.79,52.33,398,500
302,2026-08-25 18:32:20.126,Alice,View,85.48,24.67,93,400
303,2026-08-25 18:32:21.657,Ian,Download,90.82,62.23,406,201
304,2026-08-25 18:32:29.886,Fiona,Search,54.54,89.31,201,200
305,2026-08-25 18:32:26.274,George,Purchase,67.56,57.94,344,500
306,2026-08-25 18:32:26.004,Diana,Logout,19.41,53.55,318,200
307,2026-08-25 18:32:29.723,Hannah,View,5.44,75.02,149,200
308,2026-08-25 18:32:28.538,Charlie,Login,42.63,63.08,298,404
309,2026-08-25 18:32:30.435,Fiona,View,80.35,25.02,88,400
310,2026-08-25 18:32:20.874,Fiona,Upload,69.71,81.41,209,200
311,2026-08-25 18:32:20.270,Fiona,Upload,11.77,82.45,31,200
312,2026-08-25 18:32:29.022,Evan,View,41.46,23.4,230,200
313,2026-08-25 18:32:30.005,Charlie,Logout,5.33,86.5,211,500
314,2026-08-25 18:32:23.144,Diana,Download,21.02,48.39,161,201
315,2026-08-25 18:32:22.854,Charlie,Search,43.74,43.92,252,200
316,2026-08-25 18:32:19.086,Alice,Login,40.75,56.45,273,400
317,2026-08-25 18:32:25.438,Fiona,Logout,54.9,54.81,53,400
318,2026-08-25 18:32:23.880,Charlie,Logout,36.76,30.43,250,200
319,2026-08-25 18:32:25.183,Charlie,Purchase,50.88,63.67,394,500
320,2026-08-25 18:32:24.894,George,Upload,11.29,29.33,54,404
321,2026-08-25 18:32:22.035,Fiona,Download,14.13,66.2,304,200
322,2026-08-25 18:32:29.462,Julia,View,20.22,36.37,212,200
323,2026-08-25 18:32:18.847,Fiona,Download,76.0,25.0,408,400
324,2026-08-25 18:32:28.902,Charlie,Purchase,53.37,38.6,331,200
325,2026-08-25 18:32:25.044,Charlie,Login,70.36,60.94,340,404
326,2026-08-25 18:32:22.792,Charlie,Search,13.15,23.6,110,200
327,2026-08-25 18:32:26.739,Bob,Logout,21.36,87.19,26,200
328,2026-08-25 18:32:25.462,Alice,Login,79.94,20.34,201,500
329,2026-08-25 18:32:28.125,Hannah,View,31.0,78.6,424,201
330,2026-08-25 18:32:30.474,Ian,Purchase,77.64,80.37,50,200
331,2026-08-25 18:32:21.252,Diana,Download,71.6,54.32,26,200
332,2026-08-25 18:32:20.606,Fiona,Login,7.84,88.0,426,201
333,2026-08-25 18:32:23.952,Julia,Search,52.41,66.11,78,304
334,2026-08-25 18:32:18.634,Bob,Logout,76.63,83.38,248,200
335,2026-08-25 18:32:28.694,Ian,Upload,17.39,46.91,359,400
336,2026-08-25 18:32:23.022,Evan,Upload,16.68,88.5,11,304
337,2026-08-25 18:32:32.144,Ian,Logout,18.77,62.6,10,200
338,2026-08-25 18:32:20.364,Alice,Purchase,86.8,89.94,16,304
339,2026-08-25 18:32:31.905,Hannah,Download,16.58,59.8,322,500
340,2026-08-25 18:32:24.134,Hannah,Login,63.87,75.09,276,500
341,2026-08-25 18:32:29.616,Fiona,Download,92.43,74.78,147,400
342,2026-08-25 18:32:29.658,George,Login,5.87,83.25,203,500
343,2026-08-25 18:32:29.014,George,Download,44.18,40.97,34,201
344,2026-08-25 18:32:29.742,Hannah,View,76.33,81.74,123,500
345,2026-08-25 18:32:19.434,Charlie,Search,12.28,68.36,301,404
346,2026-08-25 18:32:31.210,Evan,Logout,28.4,33.34,56,201
347,2026-08-25 18:32:25.010,Fiona,View,31.19,73.16,204,200
348,2026-08-25 18:32:22.950,Ian,Download,19.42,28.15,25,200
349,2026-08-25 18:32:25.415,Diana,Login,10.65,59.04,16,200
350,2026-08-25 18:32:19.844,Fiona,Logout,89.18,29.92,35,200
351,2026-08-25 18:32:31.791,Charlie,Purchase,87.3,72.53,383,200
352,2026-08-25 18:32:28.318,Diana,View,59.53,26.95,275,200
353,2026-08-25 18:32:25.884,Diana,Logout,92.6,61.38,127,304
354,2026-08-25 18:32:29.454,Bob,Logout,72.65,70.06,326,200
355,2026-08-25 18:32:20.619,Fiona,View,69.58,21.96,379,500
356,2026-08-25 18:32:33.094,George,Logout,26.38,49.11,99,304
357,2026-08-25 18:32:33.144,Ian,Search,61.78,62.81,380,400
358,2026-08-25 18:32:29.972,Diana,Purchase,30.83,62.91,285,400
359,2026-08-25 18:32:27.859,Bob,Purchase,36.8,24.69,302,200
360,2026-08-25 18:32:24.654,Bob,Purchase,51.73,48.91,208,404
361,2026-08-25 18:32:26.124,Bob,Download,88.16,68.88,145,404
362,2026-08-25 18:32:21.086,Julia,Logout,73.08,36.05,121,200
363,2026-08-25 18:32:20.376,Charlie,Purchase,42.14,73.35,392,200
364,2026-08-25 18:32:23.666,Alice,View,28.56,28.17,175,200
365,2026-08-25 18:32:21.134,Ian,Purchase,42.41,58.45,344,201
366,2026-08-25 18:32:26.640,Hannah,Upload,78.61,41.49,107,404
367,2026-08-25 18:32:27.772,Julia,Upload,46.47,21.61,219,201
368,2026-08-25 18:32:25.230,Charlie,Search,64.56,22.09,345,200
369,2026-08-25 18:32:32.637,Hannah,Purchase,91.03,33.85,156,201
370,2026-08-25 18:32:24.914,Diana,Purchase,79.21,62.73,113,200
371,2026-08-25 18:32:21.230,Charlie,Search,15.96,75.75,355,500
372,2026-08-25 18:32:25.338,Charlie,Upload,9.66,48.67,199,200
373,2026-08-25 18:32:31.333,Alice,View,62.83,69.56,28,404
374,2026-08-25 18:32:20.904,Julia,Logout,93.71,84.52,171,200
375,2026-08-25 18:32:26.919,George,Logout,73.1,83.25,371,500
376,2026-08-25 18:32:31.838,Bob,Search,41.52,86.16,27,200
377,2026-08-25 18:32:24.719,Charlie,Upload,57.26,21.22,428,200
378,2026-08-25 18:32:23.610,Charlie,Upload,85.88,33.32,83,200
379,2026-08-25 18:32:28.938,Diana,Upload,52.8,42.23,110,200
